id,user,uid,version,changeset,timestamp
5673768,Dami_Tn,2012449,4,21787953,2014-04-19T00:46:13Z
5673848,MxxCon,384667,5,11773965,2012-06-02T06:43:16Z
5673924,saikabhi,3029661,5,39532152,2016-05-24T12:17:20Z
5673978,NE2,207745,3,3439822,2009-12-24T04:53:11Z
5674025,MxxCon,384667,4,16491001,2013-06-10T05:13:55Z
5674030,PeterEastern,4951,3,13204746,2012-09-22T08:42:38Z
5674055,NE2,207745,4,3439822,2009-12-24T04:02:39Z
5674069,NE2,207745,5,3439822,2009-12-24T04:02:51Z
5674073,NE2,207745,2,3439822,2009-12-24T04:02:51Z
5674092,MxxCon,384667,4,16106769,2013-05-13T06:57:44Z
5674115,ddstarr,72169,4,31570357,2015-05-29T19:17:33Z
5674117,ingalls,305985,5,14637581,2013-01-13T17:19:49Z
5674228,MxxCon,384667,4,16106755,2013-05-13T06:56:28Z
5674286,NE2,207745,3,3439822,2009-12-24T04:03:09Z
5674332,KristenK,1494110,6,21788047,2014-04-19T00:49:59Z
5674490,dbk514,1872240,5,19877312,2014-01-08T07:58:19Z
5674496,watame,1380816,8,16256016,2013-05-23T18:19:34Z
5674641,J Chin,1806751,6,18908305,2013-11-15T06:35:39Z
5674644,watame,1380816,4,16268120,2013-05-24T16:27:03Z
5674880,ingalls,305985,3,13342148,2012-10-03T02:29:19Z
5674882,ingalls,305985,3,13358847,2012-10-04T10:52:43Z
5674885,Dami_Tn,2012449,4,21787953,2014-04-19T00:46:15Z
5674949,KristenK,1494110,3,21851313,2014-04-21T22:48:20Z
5675000,ingalls,305985,3,13366115,2012-10-04T20:56:56Z
5675189,dannykath,2226712,4,42175824,2016-09-15T15:05:02Z
5675197,NE2,207745,3,3439822,2009-12-24T04:02:46Z
5675366,ingalls,305985,3,13342148,2012-10-03T02:29:09Z
5675402,ingalls,305985,3,13342148,2012-10-03T02:29:14Z
5675677,Shompol,24396,3,10461675,2012-01-22T04:13:43Z
5675740,ingalls,305985,4,18077466,2013-09-28T14:19:38Z
5675749,Xoan Manuel,840447,4,16162421,2013-05-17T06:21:11Z
5675858,Gennady Feldman (Gena01),2920270,5,31319828,2015-05-20T16:22:03Z
5675860,watame,1380816,4,16268120,2013-05-24T16:27:03Z
5675867,watame,1380816,4,15849554,2013-04-24T14:21:29Z
5675984,ingalls,305985,3,13366115,2012-10-04T20:56:55Z
5676003,KristenK,1494110,4,21850800,2014-04-21T22:10:04Z
5676037,chdr,165869,2,2788274,2009-10-08T22:45:50Z
5676102,watame,1380816,5,15877034,2013-04-26T20:55:38Z
5676104,watame,1380816,3,15929234,2013-05-01T06:19:27Z
5676105,watame,1380816,4,16366896,2013-05-31T15:48:24Z
5676113,ingalls,305985,6,13446654,2012-10-10T20:23:57Z
5676155,NE2,207745,3,3439822,2009-12-24T04:35:25Z
5676291,chdr,165869,5,3940068,2010-02-22T00:20:36Z
5676351,anderdb,3106097,5,32968275,2015-07-30T01:16:38Z
5676356,watame,1380816,5,16254291,2013-05-23T15:46:11Z
5676410,bot-mode,451693,3,14794505,2013-01-26T16:27:21Z
5676412,watame,1380816,3,16412698,2013-06-03T20:39:09Z
5676415,chdr,165869,2,3940068,2010-02-22T00:14:59Z
5676466,MxxCon,384667,14,43653041,2016-11-14T20:23:21Z
5676468,Rub21_nycbuildings,1781294,3,19134222,2013-11-26T21:00:28Z
5676490,chdr,165869,2,3940068,2010-02-22T00:20:42Z
5676492,Xoan Manuel,840447,6,15928792,2013-05-01T06:15:20Z
5676529,ingalls,305985,3,13342148,2012-10-03T02:29:18Z
5676567,ingalls,305985,3,13342148,2012-10-03T02:29:12Z
5676570,ingalls,305985,3,13342148,2012-10-03T02:29:12Z
5676571,Dami_Tn,2012449,6,21778658,2014-04-18T22:02:14Z
5676579,Xoan Manuel,840447,7,16163115,2013-05-17T07:54:44Z
5676614,infinitesunrise,4434293,14,41920614,2016-09-05T04:40:02Z
5676633,ingalls,305985,3,13366115,2012-10-04T20:56:55Z
5676804,chdr,165869,2,2788274,2009-10-08T23:05:26Z
5676811,Shelby,25425,9,29508727,2015-03-16T02:29:03Z
5676813,Xoan Manuel,840447,3,16204397,2013-05-20T08:38:18Z
5676830,SP!KE,521684,5,21600677,2014-04-10T06:26:40Z
5676869,chdr,165869,2,3940068,2010-02-22T00:24:26Z
5676906,ingalls,305985,5,13481306,2012-10-13T16:41:55Z
5676921,NE2,207745,4,3439822,2009-12-24T04:03:14Z
5676922,NE2,207745,4,3439822,2009-12-24T04:02:50Z
5676975,Shompol,24396,4,10421018,2012-01-17T19:52:50Z
5677132,Rub21_nycbuildings,1781294,6,19255408,2013-12-03T16:56:17Z
5677135,ediyes,1240849,7,24182690,2014-07-16T14:21:18Z
5677140,chdr,165869,2,3948519,2010-02-22T23:59:07Z
5677206,ediyes,1240849,6,24210266,2014-07-17T21:28:44Z
5677311,watame,1380816,8,16068301,2013-05-10T17:38:57Z
5677379,chdr,165869,2,3940068,2010-02-22T00:13:39Z
5677426,ingalls,305985,3,19476139,2013-12-16T04:52:05Z
5677443,watame,1380816,4,15912543,2013-04-29T19:06:58Z
5677454,Cadrion,4831685,12,43730738,2016-11-17T14:17:33Z
5677456,saikabhi,3029661,8,39532201,2016-05-24T12:19:24Z
5677521,watame,1380816,4,16268203,2013-05-24T16:33:04Z
5677522,J Chin,1806751,5,18908128,2013-11-15T06:12:22Z
5677526,dannykath,2226712,4,42005642,2016-09-08T14:39:54Z
5677559,NE2,207745,3,3439822,2009-12-24T04:02:38Z
5677587,Shompol,24396,3,10461655,2012-01-22T04:00:21Z
5677616,MxxCon,384667,3,17008052,2013-07-19T06:54:32Z
5677633,chdr,165869,2,3940068,2010-02-22T00:14:41Z
5677666,NE2,207745,3,3439822,2009-12-24T04:02:39Z
5677690,ingalls,305985,4,13366115,2012-10-04T20:56:56Z
5677747,KristenK,1494110,7,21788521,2014-04-19T01:12:35Z
5677758,chdr,165869,2,3940068,2010-02-22T00:06:26Z
5677759,chdr,165869,2,2788274,2009-10-08T22:45:41Z
5677848,watame,1380816,4,16353083,2013-05-30T15:14:51Z
5677927,Dami_Tn,2012449,3,21787953,2014-04-19T00:46:14Z
5677929,chdr,165869,2,3940304,2010-02-22T00:35:29Z
5677931,ingalls,305985,7,13238588,2012-09-24T20:09:07Z
5677935,Dami_Tn,2012449,6,21792666,2014-04-19T08:41:15Z
5678010,Dami_Tn,2012449,4,21787953,2014-04-19T00:46:14Z
5678116,MxxCon,384667,3,17008052,2013-07-19T06:54:11Z
5678148,ingalls,305985,3,14637581,2013-01-13T17:19:49Z
5678152,anderdb,3106097,5,32968284,2015-07-30T01:18:22Z
5678154,chdr,165869,2,3940068,2010-02-22T00:14:07Z
5678169,Dami_Tn,2012449,8,21787953,2014-04-19T00:46:15Z
5678175,chdr,165869,2,3928709,2010-02-20T23:43:13Z
5678179,chdr,165869,2,3948519,2010-02-22T23:15:34Z
5678234,ingalls,305985,3,13342148,2012-10-03T02:29:11Z
5678235,ingalls,305985,3,13342148,2012-10-03T02:29:11Z
5678250,chdr,165869,3,3940068,2010-02-22T00:13:59Z
5678260,dbk514,1872240,4,19877312,2014-01-08T07:58:19Z
5678281,chdr,165869,3,3940068,2010-02-22T00:14:10Z
5678288,ingalls,305985,3,13342148,2012-10-03T02:29:09Z
5678398,ediyes,1240849,5,24758226,2014-08-15T02:35:33Z
5678437,karitotp,2748195,4,32709468,2015-07-17T22:37:50Z
5678502,karitotp,2748195,4,39538602,2016-05-24T17:08:04Z
5678504,chdr,165869,4,3940068,2010-02-22T00:13:55Z
5678525,Dami_Tn,2012449,4,21787953,2014-04-19T00:46:14Z
5678546,ingalls,305985,3,13342148,2012-10-03T02:29:11Z
5678585,SP!KE,521684,5,21600677,2014-04-10T06:26:41Z
5678590,watame,1380816,3,16016508,2013-05-07T18:35:24Z
5678605,bot-mode,451693,3,14794505,2013-01-26T16:27:43Z
5678636,KristenK,1494110,8,21846053,2014-04-21T19:07:22Z
5678645,NE2,207745,3,3439822,2009-12-24T04:35:19Z
5678650,ingalls,305985,4,13366115,2012-10-04T20:56:55Z
5678712,SP!KE,521684,5,21600677,2014-04-10T06:26:40Z
5678828,ingalls,305985,3,13342148,2012-10-03T02:29:14Z
5678830,ingalls,305985,3,13342148,2012-10-03T02:29:18Z
5678936,chdr,165869,2,2788274,2009-10-08T23:05:51Z
5678979,ingalls,305985,3,13445162,2012-10-10T18:47:53Z
5678980,watame,1380816,5,16113640,2013-05-13T17:37:25Z
5679028,infinitesunrise,4434293,13,41920614,2016-09-05T04:40:14Z
5679069,Rub21_nycbuildings,1781294,3,22625673,2014-05-29T19:30:20Z
5679070,ingalls,305985,3,13470960,2012-10-12T19:18:36Z
5679081,Dami_Tn,2012449,4,21791332,2014-04-19T06:52:20Z
5679084,MxxCon,384667,4,16382902,2013-06-01T20:23:46Z
5679087,KristenK,1494110,6,22074566,2014-05-01T22:54:32Z
5679102,SP!KE,521684,5,21600606,2014-04-10T06:16:50Z
5679107,dbk514,1872240,4,19877312,2014-01-08T07:58:20Z
5679152,watame,1380816,4,15929234,2013-05-01T06:19:28Z
5679153,chdr,165869,2,3948519,2010-02-22T23:37:00Z
5679166,bot-mode,451693,2,14794505,2013-01-26T16:27:48Z
5679168,Dami_Tn,2012449,4,21793206,2014-04-19T09:11:40Z
5679229,ingalls,305985,3,19476139,2013-12-16T04:52:06Z
5679231,ingalls,305985,3,13342148,2012-10-03T02:29:18Z
5679245,KristenK,1494110,5,21851313,2014-04-21T22:48:20Z
5679269,Dami_Tn,2012449,4,21791332,2014-04-19T06:52:19Z
5679282,chdr,165869,3,3940068,2010-02-22T00:24:09Z
5679339,MxxCon,384667,11,43653041,2016-11-14T20:23:21Z
5679378,chdr,165869,2,3928709,2010-02-20T23:45:28Z
5679394,KristenK,1494110,5,21846053,2014-04-21T19:07:21Z
5679395,KristenK,1494110,4,21788047,2014-04-19T00:49:55Z
5679398,watame,1380816,5,16268120,2013-05-24T16:27:02Z
5679400,infinitesunrise,4434293,9,41920614,2016-09-05T04:40:10Z
5679436,ingalls,305985,3,13342148,2012-10-03T02:29:18Z
5679468,pathym,689176,4,16663008,2013-06-22T23:57:05Z
5679504,bot-mode,451693,3,14794505,2013-01-26T16:27:51Z
5679524,ingalls,305985,3,13342148,2012-10-03T02:29:10Z
5679546,dannykath,2226712,3,39518450,2016-05-23T20:09:26Z
5679555,MxxCon,384667,6,16844372,2013-07-06T05:29:05Z
5679558,ingalls,305985,4,13366115,2012-10-04T20:56:58Z
5679583,watame,1380816,7,16353083,2013-05-30T15:14:53Z
5679591,watame,1380816,6,16353083,2013-05-30T15:14:53Z
5679593,ingalls,305985,3,13342148,2012-10-03T02:29:14Z
5679660,watame,1380816,3,15929234,2013-05-01T06:19:28Z
5679662,Nicolas Love,2359041,4,31071746,2015-05-13T02:13:25Z
5679673,SP!KE,521684,6,21600677,2014-04-10T06:26:39Z
5679676,watame,1380816,4,16347106,2013-05-30T06:33:22Z
5679678,KristenK,1494110,3,21851313,2014-04-21T22:48:19Z
5679686,Nicolas Love,2359041,5,30927173,2015-05-09T06:21:24Z
5679719,Dami_Tn,2012449,7,21793206,2014-04-19T09:11:39Z
5679721,chdr,165869,2,2788274,2009-10-08T22:43:52Z
5679722,chdr,165869,2,3940068,2010-02-22T00:06:20Z
5679729,watame,1380816,4,16366896,2013-05-31T15:48:26Z
5679734,chdr,165869,3,3940068,2010-02-22T00:25:35Z
5679784,Dami_Tn,2012449,5,21791332,2014-04-19T06:52:21Z
5679830,watame,1380816,3,16068024,2013-05-10T17:20:11Z
5679843,DaveHansenTiger,7168,1,342243,2007-09-06T00:58:03Z
5679911,watame,1380816,4,16255647,2013-05-23T17:50:12Z
5679981,MxxCon,384667,5,16844351,2013-07-06T05:25:55Z
5679982,chdr,165869,2,3948519,2010-02-22T23:15:37Z
5680123,Dami_Tn,2012449,4,21790625,2014-04-19T05:40:43Z
5680126,Dami_Tn,2012449,5,21787953,2014-04-19T00:46:15Z
5680127,ingalls,305985,3,13470960,2012-10-12T19:18:33Z
5680139,chdr,165869,2,3928709,2010-02-20T23:43:04Z
5680173,dannykath,2226712,5,42175824,2016-09-15T15:05:02Z
5680177,KristenK,1494110,3,21850986,2014-04-21T22:22:15Z
5680186,Dami_Tn,2012449,7,21792380,2014-04-19T08:21:09Z
5680188,Dami_Tn,2012449,4,21790625,2014-04-19T05:40:44Z
5680232,Rub21_nycbuildings,1781294,5,19135141,2013-11-26T21:53:49Z
5680236,Xoan Manuel,840447,4,15928792,2013-05-01T06:16:18Z
5680267,chdr,165869,2,2788274,2009-10-08T23:05:14Z
5680334,Xoan Manuel,840447,7,16202430,2013-05-20T03:41:15Z
5680399,xybot,70696,3,11133201,2012-03-29T04:53:37Z
5680403,ediyes,1240849,5,22379983,2014-05-16T21:50:24Z
5680405,ingalls,305985,3,13445162,2012-10-10T18:48:02Z
5680406,Matt1993,1891499,6,22911151,2014-06-13T15:42:41Z
5680407,ingalls,305985,3,13445162,2012-10-10T18:48:01Z
5680471,Xoan Manuel,840447,7,15928792,2013-05-01T06:03:43Z
5680489,watame,1380816,4,15929234,2013-05-01T06:19:28Z
5680495,KristenK,1494110,7,17095845,2013-07-25T23:53:00Z
5680517,ingalls,305985,5,13481865,2012-10-13T17:22:10Z
5680525,TheBestIdea,298513,4,44383507,2016-12-13T21:09:42Z
5680527,MxxCon,384667,4,17031073,2013-07-21T05:05:11Z
5680530,ingalls,305985,3,13470960,2012-10-12T19:18:35Z
5680579,Nicolas Love,2359041,5,31071854,2015-05-13T02:28:17Z
5680596,ingalls,305985,6,13479861,2012-10-13T14:44:49Z
5680609,ingalls,305985,4,13479861,2012-10-13T14:44:49Z
5680627,ingalls,305985,3,13342148,2012-10-03T02:29:13Z
5680629,ingalls,305985,3,13342148,2012-10-03T02:29:13Z
5680636,Dami_Tn,2012449,6,21792666,2014-04-19T08:41:15Z
5680705,chdr,165869,2,3948519,2010-02-22T23:17:26Z
5680709,Northern Pyro,1210020,11,15289846,2013-03-08T06:49:06Z
5680746,ingalls,305985,3,13342148,2012-10-03T02:29:13Z
5680748,Dami_Tn,2012449,4,21793206,2014-04-19T09:11:39Z
5680750,KristenK,1494110,4,21851313,2014-04-21T22:48:18Z
5680753,ingalls,305985,6,13481865,2012-10-13T17:22:09Z
5680767,bot-mode,451693,3,14794505,2013-01-26T16:28:09Z
5680859,ingalls,305985,3,13342148,2012-10-03T02:29:19Z
5680865,Dami_Tn,2012449,6,21792666,2014-04-19T08:41:16Z
5680871,ingalls,305985,4,13366115,2012-10-04T20:56:52Z
5680872,ingalls,305985,3,13342148,2012-10-03T02:29:16Z
5680874,ingalls,305985,3,13366115,2012-10-04T20:56:56Z
5680882,Shompol,24396,3,10461675,2012-01-22T04:13:49Z
5680888,watame,1380816,3,16268120,2013-05-24T16:27:03Z
5680915,MxxCon,384667,5,16844347,2013-07-06T05:25:11Z
5680922,watame,1380816,3,15877128,2013-04-26T21:04:26Z
5680939,KristenK,1494110,5,21788047,2014-04-19T00:49:57Z
5680964,Dami_Tn,2012449,4,21787953,2014-04-19T00:46:15Z
5680965,ingalls,305985,3,13342148,2012-10-03T02:29:10Z
5680966,Dami_Tn,2012449,5,21790625,2014-04-19T05:40:41Z
5680967,Gardster,2651407,7,43328915,2016-11-01T15:53:06Z
5680969,dbk514,1872240,4,19877312,2014-01-08T07:58:20Z
5680971,Xoan Manuel,840447,4,16134639,2013-05-15T06:44:56Z
5681024,Dami_Tn,2012449,3,21788300,2014-04-19T01:01:54Z
5681060,watame,1380816,5,16353083,2013-05-30T15:14:51Z
5681080,ingalls,305985,3,13478679,2012-10-13T12:58:28Z
5681094,ingalls,305985,2,13445162,2012-10-10T18:48:00Z
5681130,KristenK,1494110,6,21846053,2014-04-21T19:07:23Z
5681142,Dami_Tn,2012449,11,21737929,2014-04-16T20:54:21Z
5681147,Dami_Tn,2012449,6,21791332,2014-04-19T06:52:19Z
5681153,ingalls,305985,3,13342148,2012-10-03T02:29:15Z
5681159,ingalls,305985,3,13445162,2012-10-10T18:47:59Z
5681270,MxxCon,384667,5,16844360,2013-07-06T05:28:13Z
5681277,ediyes,1240849,6,24758226,2014-08-15T02:35:33Z
5681280,dannykath,2226712,3,39518450,2016-05-23T20:09:26Z
5681281,Maskulinum,618377,4,21710108,2014-04-15T13:49:27Z
5681299,ingalls,305985,5,13481780,2012-10-13T17:15:31Z
5681343,KristenK,1494110,4,21850986,2014-04-21T22:22:15Z
5681355,ingalls,305985,3,13342148,2012-10-03T02:29:17Z
5681439,Dami_Tn,2012449,7,21792666,2014-04-19T08:41:16Z
5681470,pathym,689176,6,16663008,2013-06-22T23:56:32Z
5681523,Nicolas Love,2359041,11,30861016,2015-05-07T04:57:34Z
5681530,Xoan Manuel,840447,4,16163711,2013-05-17T08:44:17Z
5681538,Gardster,2651407,9,43304717,2016-10-31T14:01:27Z
5681540,ddstarr,72169,3,37027484,2016-02-05T20:06:20Z
5681550,Shompol,24396,6,10461675,2012-01-22T04:13:42Z
5681552,pathym,689176,6,16663008,2013-06-22T23:57:12Z
5681560,ingalls,305985,3,13482117,2012-10-13T17:42:07Z
5681561,dannykath,2226712,3,39518450,2016-05-23T20:09:26Z
5681564,ingalls,305985,3,13342148,2012-10-03T02:29:11Z
5681580,KristenK,1494110,9,21753743,2014-04-17T17:44:41Z
5681581,MxxCon,384667,6,16382902,2013-06-01T20:23:47Z
5681593,ingalls,305985,3,13445162,2012-10-10T18:47:56Z
5681595,ingalls,305985,4,14637581,2013-01-13T17:19:47Z
5681596,watame,1380816,3,16113640,2013-05-13T17:37:25Z
5681597,ingalls,305985,3,13445162,2012-10-10T18:47:55Z
5681598,watame,1380816,3,16113640,2013-05-13T17:37:25Z
5681599,Rub21_nycbuildings,1781294,5,19134866,2013-11-26T21:36:34Z
5681602,ingalls,305985,3,13445162,2012-10-10T18:47:58Z
5681618,Xoan Manuel,840447,5,16134639,2013-05-15T06:44:56Z
5681619,DaveHansenTiger,7168,1,342243,2007-09-06T01:21:38Z
5681639,Dami_Tn,2012449,6,31271598,2015-05-19T00:20:35Z
5681670,Luis36995,1829683,11,39584339,2016-05-26T15:40:32Z
5681687,watame,1380816,5,15924216,2013-04-30T18:21:32Z
5681689,infinitesunrise,4434293,5,41920614,2016-09-05T04:39:46Z
5681696,ddstarr,72169,10,37103566,2016-02-09T15:11:31Z
5681698,Gennady Feldman (Gena01),2920270,7,31319828,2015-05-20T16:22:04Z
5681703,Dami_Tn,2012449,4,21787953,2014-04-19T00:46:14Z
5681724,KristenK,1494110,5,21851313,2014-04-21T22:48:18Z
5681760,dc157,1714546,7,17679274,2013-09-04T22:01:23Z
5681779,pathym,689176,7,16663008,2013-06-22T23:56:36Z
5681784,ingalls,305985,2,13445162,2012-10-10T18:47:52Z
5681790,Dami_Tn,2012449,9,21793541,2014-04-19T09:36:18Z
5681804,pratikyadav,2905914,4,32752963,2015-07-20T12:27:14Z
5681831,Dami_Tn,2012449,7,21792666,2014-04-19T08:41:14Z
5681834,ingalls,305985,3,13342148,2012-10-03T02:29:08Z
5681857,chdr,165869,2,3940068,2010-02-22T00:24:35Z
5681888,chdr,165869,2,2788274,2009-10-08T23:05:19Z
5681898,Dami_Tn,2012449,6,21792666,2014-04-19T08:41:15Z
5681923,Cadrion,4831685,8,43730738,2016-11-17T14:17:33Z
5681945,J Chin,1806751,5,18908128,2013-11-15T06:12:22Z
5681946,bot-mode,451693,3,15783691,2013-04-19T11:22:29Z
5681947,watame,1380816,4,16268203,2013-05-24T16:33:04Z
5681952,Nicolas Love,2359041,7,31071746,2015-05-13T02:13:25Z
5681997,Howpper,1240864,11,43861104,2016-11-22T03:19:27Z
5682001,ingalls,305985,3,14637581,2013-01-13T17:19:48Z
5682036,Dami_Tn,2012449,4,21790625,2014-04-19T05:40:42Z
5682066,watame,1380816,3,16068370,2013-05-10T17:43:15Z
5682096,bot-mode,451693,3,15783691,2013-04-19T11:22:30Z
5682098,ingalls,305985,3,13366115,2012-10-04T20:56:53Z
5682101,calfarome,2511706,4,32760157,2015-07-20T18:20:02Z
5682103,NE2,207745,3,3439822,2009-12-24T04:02:34Z
5682104,chdr,165869,2,3940068,2010-02-22T00:15:04Z
5682106,chdr,165869,2,3940068,2010-02-22T00:14:51Z
5682133,watame,1380816,3,16113640,2013-05-13T17:37:25Z
5682137,ingalls,305985,5,13445162,2012-10-10T18:47:56Z
5682145,ddstarr,72169,4,37027484,2016-02-05T20:06:21Z
5682168,luiswoo,311318,8,21412489,2014-03-31T04:15:34Z
5682227,Dami_Tn,2012449,4,21790875,2014-04-19T06:07:22Z
22693558,will l,35195,3,2978325,2009-10-29T02:04:57Z
22693810,monkeyrobot,646734,22,28078050,2015-01-12T03:14:39Z
22693835,Cadrion,4831685,28,43730738,2016-11-17T14:17:33Z
24774610,dc157,1714546,3,17724473,2013-09-07T21:50:02Z
24774612,dc157,1714546,5,17724511,2013-09-07T21:53:39Z
24851845,Xoan Manuel,840447,4,16163115,2013-05-17T07:54:43Z
24851850,Xoan Manuel,840447,3,16135530,2013-05-15T08:53:13Z
32135347,Jothirnadh,2015224,30,39600005,2016-05-27T10:02:02Z
37576400,ingalls,305985,4,19076673,2013-11-23T17:24:38Z
38311755,bot-mode,451693,3,15788236,2013-04-19T18:13:28Z
38311756,NE2,207745,2,3439822,2009-12-24T04:35:19Z
38311758,Mapper A,2388744,9,25966678,2014-10-09T18:03:51Z
38311759,watame,1380816,4,16268120,2013-05-24T16:27:03Z
38311761,Rub21_nycbuildings,1781294,4,19134222,2013-11-26T21:00:28Z
38311763,watame,1380816,3,16268120,2013-05-24T16:27:04Z
38311765,chdr,165869,3,3940068,2010-02-22T00:27:39Z
38311766,NE2,207745,5,3439822,2009-12-24T04:53:15Z
38311778,watame,1380816,5,16268120,2013-05-24T16:27:03Z
38311786,Dami_Tn,2012449,5,21793206,2014-04-19T09:11:38Z
38496275,NE2,207745,4,3439822,2009-12-24T04:35:20Z
38498976,MxxCon,384667,4,16491021,2013-06-10T05:17:37Z
38499062,dc157,1714546,5,17664702,2013-09-04T03:48:42Z
39076144,dannykath,2226712,4,39519918,2016-05-23T21:18:59Z
39076145,dc157,1714546,8,17579628,2013-08-29T21:12:44Z
43314627,RussNelson,3962,3,14855229,2013-01-31T04:52:08Z
43314682,Dami_Tn,2012449,10,31271598,2015-05-19T00:20:33Z
46137544,karitotp,2748195,8,39538383,2016-05-24T16:59:01Z
46162826,42429,42429,1,3364283,2009-12-13T16:24:32Z
46341530,bjoern262,651621,10,40263566,2016-06-24T15:06:14Z
46588442,MxxCon,384667,3,16023460,2013-05-08T05:47:32Z
46588446,MxxCon,384667,4,43653041,2016-11-14T20:23:21Z
46865614,ebrelsford,19239,18,31462326,2015-05-26T04:47:37Z
46865615,Xoan Manuel,840447,4,16203497,2013-05-20T07:02:37Z
46865663,watame,1380816,2,16113640,2013-05-13T17:37:24Z
46865725,DennisL,32952,6,17044971,2013-07-22T07:54:14Z
46865762,Xoan Manuel,840447,4,16204397,2013-05-20T08:38:17Z
46905876,danbjoseph,1535212,2,21954151,2014-04-26T13:16:59Z
46905877,MxxCon,384667,2,16490986,2013-06-10T05:10:47Z
